NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Ano (Código),Ano,Variável (Código),Variável
6,Município,45,Pessoas,24228,1100015,Alta Floresta D'Oeste - RO,2011,2011,9324,População residente estimada
6,Município,45,Pessoas,91570,1100023,Ariquemes - RO,2011,2011,9324,População residente estimada
6,Município,45,Pessoas,6221,1100031,Cabixi - RO,2011,2011,9324,População residente estimada
6,Município,45,Pessoas,78959,1100049,Cacoal - RO,2011,2011,9324,População residente estimada
6,Município,45,Pessoas,16939,1100056,Cerejeiras - RO,2011,2011,9324,População residente estimada
6,Município,45,Pessoas,18338,1100064,Colorado do Oeste - RO,2011,2011,9324,População residente estimada
6,Município,45,Pessoas,8655,1100072,Corumbiara - RO,2011,2011,9324,População residente estimada
6,Município,45,Pessoas,14023,1100080,Costa Marques - RO,2011,2011,9324,População residente estimada
6,Município,45,Pessoas,28963,1100098,Espigão D'Oeste - RO,2011,2011,9324,População residente estimada
6,Município,45,Pessoas,41934,1100106,Guajará-Mirim - RO,2011,2011,9324,População residente estimada
6,Município,45,Pessoas,51883,1100114,Jaru - RO,2011,2011,9324,População residente estimada
6,Município,45,Pessoas,117363,1100122,Ji-Paraná - RO,2011,2011,9324,População residente estimada
6,Município,45,Pessoas,31780,1100130,Machadinho D'Oeste - RO,2011,2011,9324,População residente estimada
6,Município,45,Pessoas,19883,1100148,Nova Brasilândia D'Oeste - RO,2011,2011,9324,População residente estimada
6,Município,45,Pessoas,37702,1100155,Ouro Preto do Oeste - RO,2011,2011,9324,População residente estimada
6,Município,45,Pessoas,33981,1100189,Pimenta Bueno - RO,2011,2011,9324,População residente estimada
6,Município,45,Pessoas,435732,1100205,Porto Velho - RO,2011,2011,9324,População residente estimada
6,Município,45,Pessoas,22009,1100254,Presidente Médici - RO,2011,2011,9324,População residente estimada
6,Município,45,Pessoas,3346,1100262,Rio Crespo - RO,2011,2011,9324,População residente estimada
6,Município,45,Pessoas,50899,1100288,Rolim de Moura - RO,2011,2011,9324,População residente estimada
6,Município,45,Pessoas,8678,1100296,Santa Luzia D'Oeste - RO,2011,2011,9324,População residente estimada
6,Município,45,Pessoas,77937,1100304,Vilhena - RO,2011,2011,9324,População residente estimada
6,Município,45,Pessoas,21879,1100320,São Miguel do Guaporé - RO,2011,2011,9324,População residente estimada
6,Município,45,Pessoas,23143,1100338,Nova Mamoré - RO,2011,2011,9324,População residente estimada
6,Município,45,Pessoas,16625,1100346,Alvorada D'Oeste - RO,2011,2011,9324,População residente estimada
6,Município,45,Pessoas,12825,1100379,Alto Alegre dos Parecis - RO,2011,2011,9324,População residente estimada
6,Município,45,Pessoas,17444,1100403,Alto Paraíso - RO,2011,2011,9324,População residente estimada
6,Município,45,Pessoas,32899,1100452,Buritis - RO,2011,2011,9324,População residente estimada
