NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Ano (Código),Ano,Variável (Código),Variável
6,Município,45,Pessoas,24069,1100015,Alta Floresta D'Oeste - RO,2012,2012,9324,População residente estimada
6,Município,45,Pessoas,92747,1100023,Ariquemes - RO,2012,2012,9324,População residente estimada
6,Município,45,Pessoas,6132,1100031,Cabixi - RO,2012,2012,9324,População residente estimada
6,Município,45,Pessoas,79330,1100049,Cacoal - RO,2012,2012,9324,População residente estimada
6,Município,45,Pessoas,16852,1100056,Cerejeiras - RO,2012,2012,9324,População residente estimada
6,Município,45,Pessoas,18093,1100064,Colorado do Oeste - RO,2012,2012,9324,População residente estimada
6,Município,45,Pessoas,8530,1100072,Corumbiara - RO,2012,2012,9324,População residente estimada
6,Município,45,Pessoas,14355,1100080,Costa Marques - RO,2012,2012,9324,População residente estimada
6,Município,45,Pessoas,29189,1100098,Espigão D'Oeste - RO,2012,2012,9324,População residente estimada
6,Município,45,Pessoas,42202,1100106,Guajará-Mirim - RO,2012,2012,9324,População residente estimada
6,Município,45,Pessoas,51765,1100114,Jaru - RO,2012,2012,9324,População residente estimada
6,Município,45,Pessoas,118092,1100122,Ji-Paraná - RO,2012,2012,9324,População residente estimada
6,Município,45,Pessoas,32403,1100130,Machadinho D'Oeste - RO,2012,2012,9324,População residente estimada
6,Município,45,Pessoas,19891,1100148,Nova Brasilândia D'Oeste - RO,2012,2012,9324,População residente estimada
6,Município,45,Pessoas,37482,1100155,Ouro Preto do Oeste - RO,2012,2012,9324,População residente estimada
6,Município,45,Pessoas,34135,1100189,Pimenta Bueno - RO,2012,2012,9324,População residente estimada
6,Município,45,Pessoas,442701,1100205,Porto Velho - RO,2012,2012,9324,População residente estimada
6,Município,45,Pessoas,21709,1100254,Presidente Médici - RO,2012,2012,9324,População residente estimada
6,Município,45,Pessoas,3374,1100262,Rio Crespo - RO,2012,2012,9324,População residente estimada
