NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,D5C,D5N,D6C,D6N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Ano (Código),Ano,Variável (Código),Variável,Sexo (Código),Sexo,Situação do domicílio (Código),Situação do domicílio,Grupo de idade (Código),Grupo de idade
6,Município,45,Pessoas,...,1100015,Alta Floresta D'Oeste - RO,1980,1980,93,População residente,0,Total,0,Total,0,Total
6,Município,45,Pessoas,53365,1100023,Ariquemes - RO,1980,1980,93,População residente,0,Total,0,Total,0,Total
6,Município,45,Pessoas,...,1100031,Cabixi - RO,1980,1980,93,População residente,0,Total,0,Total,0,Total
6,Município,45,Pessoas,67030,1100049,Cacoal - RO,1980,1980,93,População residente,0,Total,0,Total,0,Total
6,Município,45,Pessoas,...,1100056,Cerejeiras - RO,1980,1980,93,População residente,0,Total,0,Total,0,Total
6,Município,45,Pessoas,...,1100064,Colorado do Oeste - RO,1980,1980,93,População residente,0,Total,0,Total,0,Total
6,Município,45,Pessoas,...,1100072,Corumbiara - RO,1980,1980,93,População residente,0,Total,0,Total,0,Total
6,Município,45,Pessoas,...,1100080,Costa Marques - RO,1980,1980,93,População residente,0,Total,0,Total,0,Total
6,Município,45,Pessoas,...,1100098,Espigão D'Oeste - RO,1980,1980,93,População residente,0,Total,0,Total,0,Total
6,Município,45,Pessoas,34751,1100106,Guajará-Mirim - RO,1980,1980,93,População residente,0,Total,0,Total,0,Total
6,Município,45,Pessoas,...,1100114,Jaru - RO,1980,1980,93,População residente,0,Total,0,Total,0,Total
6,Município,45,Pessoas,121714,1100122,Ji-Paraná - RO,1980,1980,93,População residente,0,Total,0,Total,0,Total
6,Município,45,Pessoas,...,1100130,Machadinho D'Oeste - RO,1980,1980,93,População residente,0,Total,0,Total,0,Total
6,Município,45,Pessoas,...,1100148,Nova Brasilândia D'Oeste - RO,1980,1980,93,População residente,0,Total,0,Total,0,Total
6,Município,45,Pessoas,...,1100155,Ouro Preto do Oeste - RO,1980,1980,93,População residente,0,Total,0,Total,0,Total
6,Município,45,Pessoas,29993,1100189,Pimenta Bueno - RO,1980,1980,93,População residente,0,Total,0,Total,0,Total
6,Município,45,Pessoas,133882,1100205,Porto Velho - RO,1980,1980,93,População residente,0,Total,0,Total,0,Total
6,Município,45,Pessoas,...,1100254,Presidente Médici - RO,1980,1980,93,População residente,0,Total,0,Total,0,Total
6,Município,45,Pessoas,...,1100262,Rio Crespo - RO,1980,1980,93,População residente,0,Total,0,Total,0,Total
6,Município,45,Pessoas,...,1100288,Rolim de Moura - RO,1980,1980,93,População residente,0,Total,0,Total,0,Total
6,Município,45,Pessoas,...,1100296,Santa Luzia D'Oeste - RO,1980,1980,93,População residente,0,Total,0,Total,0,Total
6,Município,45,Pessoas,50290,1100304,Vilhena - RO,1980,1980,93,População residente,0,Total,0,Total,0,Total
6,Município,45,Pessoas,...,1100320,São Miguel do Guaporé - RO,1980,1980,93,População residente,0,Total,0,Total,0,Total
6,Município,45,Pessoas,...,1100338,Nova Mamoré - RO,1980,1980,93,População residente,0,Total,0,Total,0,Total
6,Município,45,Pessoas,...,1100346,Alvorada D'Oeste - RO,1980,1980,93,População residente,0,Total,0,Total,0,Total
6,Município,45,Pessoas,...,1100379,Alto Alegre dos Parecis - RO,1980,1980,93,População residente,0,Total,0,Total,0,Total
6,Município,45,Pessoas,...,1100403,Alto Paraíso - RO,1980,1980,93,População residente,0,Total,0,Total,0,Total
6,Município,45,Pessoas,...,1100452,Buritis - RO,1980,1980,93,População residente,0,Total,0,Total,0,Total
6,Município,45,Pessoas,...,1100502,Novo Horizonte do Oeste - RO,1980,1980,93,População residente,0,Total,0,Total,0,Total
6,Município,45,Pessoas,...,1100601,Cacaulândia - RO,1980,1980,93,População residente,0,Total,0,Total,0,Total
6,Município,45,Pessoas,...,1100700,Campo Novo de Rondônia - RO,1980,1980,93,População residente,0,Total,0,Total,0,Total
6,Município,45,Pessoas,...,1100809,Candeias do Jamari - RO,1980,1980,93,População residente,0,Total,0,Total,0,Total
6,Município,45,Pessoas,...,1100908,Castanheiras - RO,1980,1980,93,População residente,0,Total,0,Total,0,Total
6,Município,45,Pessoas,...,1100924,Chupinguaia - RO,1980,1980,93,População residente,0,Total,0,Total,0,Total
6,Município,45,Pessoas,...,1100940,Cujubim - RO,1980,1980,93,População residente,0,Total,0,Total,0,Total
6,Município,45,Pessoas,...,1101005,Governador Jorge Teixeira - RO,1980,1980,93,População residente,0,Total,0,Total,0,Total
6,Município,45,Pessoas,...,1101104,Itapuã do Oeste - RO,1980,1980,93,População residente,0,Total,0,Total,0,Total
6,Município,45,Pessoas,...,1101203,Ministro Andreazza - RO,1980,1980,93,População residente,0,Total,0,Total,0,Total
6,Município,45,Pessoas,...,1101302,Mirante da Serra - RO,1980,1980,93,População residente,0,Total,0,Total,0,Total
6,Município,45,Pessoas,...,1101401,Monte Negro - RO,1980,1980,93,População residente,0,Total,0,Total,0,Total
