NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Ano (Código),Ano,Variável (Código),Variável
6,Município,45,Pessoas,29005,1100015,Alta Floresta D'Oeste - RO,2006,2006,9324,População residente estimada
6,Município,45,Pessoas,86924,1100023,Ariquemes - RO,2006,2006,9324,População residente estimada
6,Município,45,Pessoas,7421,1100031,Cabixi - RO,2006,2006,9324,População residente estimada
6,Município,45,Pessoas,76422,1100049,Cacoal - RO,2006,2006,9324,População residente estimada
6,Município,45,Pessoas,17215,1100056,Cerejeiras - RO,2006,2006,9324,População residente estimada
6,Município,45,Pessoas,18342,1100064,Colorado do Oeste - RO,2006,2006,9324,População residente estimada
6,Município,45,Pessoas,9409,1100072,Corumbiara - RO,2006,2006,9324,População residente estimada
6,Município,45,Pessoas,11735,1100080,Costa Marques - RO,2006,2006,9324,População residente estimada
6,Município,45,Pessoas,27559,1100098,Espigão D'Oeste - RO,2006,2006,9324,População residente estimada
6,Município,45,Pessoas,42082,1100106,Guajará-Mirim - RO,2006,2006,9324,População residente estimada
6,Município,45,Pessoas,56242,1100114,Jaru - RO,2006,2006,9324,População residente estimada
6,Município,45,Pessoas,113453,1100122,Ji-Paraná - RO,2006,2006,9324,População residente estimada
6,Município,45,Pessoas,29711,1100130,Machadinho D'Oeste - RO,2006,2006,9324,População residente estimada
6,Município,45,Pessoas,18005,1100148,Nova Brasilândia D'Oeste - RO,2006,2006,9324,População residente estimada
6,Município,45,Pessoas,40735,1100155,Ouro Preto do Oeste - RO,2006,2006,9324,População residente estimada
6,Município,45,Pessoas,31415,1100189,Pimenta Bueno - RO,2006,2006,9324,População residente estimada
6,Município,45,Pessoas,380974,1100205,Porto Velho - RO,2006,2006,9324,População residente estimada
6,Município,45,Pessoas,25313,1100254,Presidente Médici - RO,2006,2006,9324,População residente estimada
6,Município,45,Pessoas,3603,1100262,Rio Crespo - RO,2006,2006,9324,População residente estimada
6,Município,45,Pessoas,49907,1100288,Rolim de Moura - RO,2006,2006,9324,População residente estimada
6,Município,45,Pessoas,11067,1100296,Santa Luzia D'Oeste - RO,2006,2006,9324,População residente estimada
6,Município,45,Pessoas,65807,1100304,Vilhena - RO,2006,2006,9324,População residente estimada
6,Município,45,Pessoas,31198,1100320,São Miguel do Guaporé - RO,2006,2006,9324,População residente estimada
6,Município,45,Pessoas,20343,1100338,Nova Mamoré - RO,2006,2006,9324,População residente estimada
6,Município,45,Pessoas,19542,1100346,Alvorada D'Oeste - RO,2006,2006,9324,População residente estimada
