NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Ano (Código),Ano,Variável (Código),Variável
6,Município,45,Pessoas,22516,1100015,Alta Floresta D'Oeste - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,111148,1100023,Ariquemes - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,5067,1100031,Cabixi - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,86416,1100049,Cacoal - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,16088,1100056,Cerejeiras - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,15213,1100064,Colorado do Oeste - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,7052,1100072,Corumbiara - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,19255,1100080,Costa Marques - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,33009,1100098,Espigão D'Oeste - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,46930,1100106,Guajará-Mirim - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,51469,1100114,Jaru - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,131026,1100122,Ji-Paraná - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,41724,1100130,Machadinho D'Oeste - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,20504,1100148,Nova Brasilândia D'Oeste - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,35445,1100155,Ouro Preto do Oeste - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,37098,1100189,Pimenta Bueno - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,548952,1100205,Porto Velho - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,18165,1100254,Presidente Médici - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,3843,1100262,Rio Crespo - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,55748,1100288,Rolim de Moura - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,5942,1100296,Santa Luzia D'Oeste - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,104517,1100304,Vilhena - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,23147,1100320,São Miguel do Guaporé - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,32184,1100338,Nova Mamoré - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,13807,1100346,Alvorada D'Oeste - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,13268,1100379,Alto Alegre dos Parecis - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,22258,1100403,Alto Paraíso - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,41043,1100452,Buritis - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,8125,1100502,Novo Horizonte do Oeste - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,6307,1100601,Cacaulândia - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,14391,1100700,Campo Novo de Rondônia - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,28068,1100809,Candeias do Jamari - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,2923,1100908,Castanheiras - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,11755,1100924,Chupinguaia - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,27131,1100940,Cujubim - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,7130,1101005,Governador Jorge Teixeira - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,10819,1101104,Itapuã do Oeste - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,9461,1101203,Ministro Andreazza - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,10691,1101302,Mirante da Serra - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,16158,1101401,Monte Negro - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,6822,1101435,Nova União - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,6319,1101450,Parecis - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,2127,1101468,Pimenteiras do Oeste - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,2697,1101476,Primavera de Rondônia - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,4962,1101484,São Felipe D'Oeste - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,21088,1101492,São Francisco do Guaporé - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,11846,1101500,Seringueiras - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,4160,1101559,Teixeirópolis - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,10348,1101609,Theobroma - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,11081,1101708,Urupá - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,11545,1101757,Vale do Anari - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,6490,1101807,Vale do Paraíso - RO,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,15721,1200013,Acrelândia - AC,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,7649,1200054,Assis Brasil - AC,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,27123,1200104,Brasiléia - AC,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,10572,1200138,Bujari - AC,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,12280,1200179,Capixaba - AC,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,89760,1200203,Cruzeiro do Sul - AC,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,18979,1200252,Epitaciolândia - AC,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,34986,1200302,Feijó - AC,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,8628,1200328,Jordão - AC,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,19643,1200336,Mâncio Lima - AC,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,9701,1200344,Manoel Urbano - AC,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,19727,1200351,Marechal Thaumaturgo - AC,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,20147,1200385,Plácido de Castro - AC,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,12497,1200393,Porto Walter - AC,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,419452,1200401,Rio Branco - AC,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,19767,1200427,Rodrigues Alves - AC,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,6893,1200435,Santa Rosa do Purus - AC,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,23446,1200450,Senador Guiomard - AC,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,47168,1200500,Sena Madureira - AC,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,43730,1200609,Tarauacá - AC,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,19866,1200708,Xapuri - AC,2021,2021,9324,População residente estimada
6,Município,45,Pessoas,19141,1200807,Porto Acre - AC,2021,2021,9324,População residente estimada
