NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Ano (Código),Ano,Variável (Código),Variável
6,Município,45,Pessoas,22945,1100015,Alta Floresta D'Oeste - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,107863,1100023,Ariquemes - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,5312,1100031,Cabixi - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,85359,1100049,Cacoal - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,16323,1100056,Cerejeiras - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,15882,1100064,Colorado do Oeste - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,7391,1100072,Corumbiara - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,18331,1100080,Costa Marques - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,32374,1100098,Espigão D'Oeste - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,46174,1100106,Guajará-Mirim - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,51775,1100114,Jaru - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,128969,1100122,Ji-Paraná - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,39991,1100130,Machadinho D'Oeste - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,20474,1100148,Nova Brasilândia D'Oeste - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,36035,1100155,Ouro Preto do Oeste - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,36660,1100189,Pimenta Bueno - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,529544,1100205,Porto Velho - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,18986,1100254,Presidente Médici - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,3764,1100262,Rio Crespo - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,55058,1100288,Rolim de Moura - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,6495,1100296,Santa Luzia D'Oeste - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,99854,1100304,Vilhena - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,23005,1100320,São Miguel do Guaporé - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,30583,1100338,Nova Mamoré - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,14411,1100346,Alvorada D'Oeste - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,13241,1100379,Alto Alegre dos Parecis - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,21428,1100403,Alto Paraíso - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,39654,1100452,Buritis - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,8538,1100502,Novo Horizonte do Oeste - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,6230,1100601,Cacaulândia - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,14139,1100700,Campo Novo de Rondônia - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,26693,1100809,Candeias do Jamari - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,3052,1100908,Castanheiras - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,11182,1100924,Chupinguaia - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,25215,1100940,Cujubim - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,7767,1101005,Governador Jorge Teixeira - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,10458,1101104,Itapuã do Oeste - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,9660,1101203,Ministro Andreazza - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,10947,1101302,Mirante da Serra - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,15852,1101401,Monte Negro - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,6970,1101435,Nova União - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,6074,1101450,Parecis - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,2169,1101468,Pimenteiras do Oeste - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,2856,1101476,Primavera de Rondônia - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,5172,1101484,São Felipe D'Oeste - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,20266,1101492,São Francisco do Guaporé - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,11856,1101500,Seringueiras - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,4308,1101559,Teixeirópolis - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,10444,1101609,Theobroma - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,11467,1101708,Urupá - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,11204,1101757,Vale do Anari - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,6825,1101807,Vale do Paraíso - RO,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,15256,1200013,Acrelândia - AC,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,7417,1200054,Assis Brasil - AC,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,26278,1200104,Brasiléia - AC,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,10266,1200138,Bujari - AC,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,11733,1200179,Capixaba - AC,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,88376,1200203,Cruzeiro do Sul - AC,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,18411,1200252,Epitaciolândia - AC,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,34780,1200302,Feijó - AC,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,8317,1200328,Jordão - AC,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,18977,1200336,Mâncio Lima - AC,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,9459,1200344,Manoel Urbano - AC,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,18867,1200351,Marechal Thaumaturgo - AC,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,19761,1200385,Plácido de Castro - AC,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,11982,1200393,Porto Walter - AC,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,407319,1200401,Rio Branco - AC,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,18930,1200427,Rodrigues Alves - AC,2019,2019,9324,População residente estimada
6,Município,45,Pessoas,6540,1200435,Santa Rosa do Purus - AC,2019,2019,9324,População residente estimada
