NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Ano (Código),Ano,Variável (Código),Variável
6,Município,45,Pessoas,22728,1100015,Alta Floresta D'Oeste - RO,2020,2020,9324,População residente estimada
6,Município,45,Pessoas,109523,1100023,Ariquemes - RO,2020,2020,9324,População residente estimada
6,Município,45,Pessoas,5188,1100031,Cabixi - RO,2020,2020,9324,População residente estimada
6,Município,45,Pessoas,85893,1100049,Cacoal - RO,2020,2020,9324,População residente estimada
6,Município,45,Pessoas,16204,1100056,Cerejeiras - RO,2020,2020,9324,População residente estimada
6,Município,45,Pessoas,15544,1100064,Colorado do Oeste - RO,2020,2020,9324,População residente estimada
6,Município,45,Pessoas,7220,1100072,Corumbiara - RO,2020,2020,9324,População residente estimada
6,Município,45,Pessoas,18798,1100080,Costa Marques - RO,2020,2020,9324,População residente estimada
6,Município,45,Pessoas,32695,1100098,Espigão D'Oeste - RO,2020,2020,9324,População residente estimada
6,Município,45,Pessoas,46556,1100106,Guajará-Mirim - RO,2020,2020,9324,População residente estimada
6,Município,45,Pessoas,51620,1100114,Jaru - RO,2020,2020,9324,População residente estimada
6,Município,45,Pessoas,130009,1100122,Ji-Paraná - RO,2020,2020,9324,População residente estimada
6,Município,45,Pessoas,40867,1100130,Machadinho D'Oeste - RO,2020,2020,9324,População residente estimada
6,Município,45,Pessoas,20489,1100148,Nova Brasilândia D'Oeste - RO,2020,2020,9324,População residente estimada
6,Município,45,Pessoas,35737,1100155,Ouro Preto do Oeste - RO,2020,2020,9324,População residente estimada
6,Município,45,Pessoas,36881,1100189,Pimenta Bueno - RO,2020,2020,9324,População residente estimada
6,Município,45,Pessoas,539354,1100205,Porto Velho - RO,2020,2020,9324,População residente estimada
6,Município,45,Pessoas,18571,1100254,Presidente Médici - RO,2020,2020,9324,População residente estimada
6,Município,45,Pessoas,3804,1100262,Rio Crespo - RO,2020,2020,9324,População residente estimada
6,Município,45,Pessoas,55407,1100288,Rolim de Moura - RO,2020,2020,9324,População residente estimada
6,Município,45,Pessoas,6216,1100296,Santa Luzia D'Oeste - RO,2020,2020,9324,População residente estimada
6,Município,45,Pessoas,102211,1100304,Vilhena - RO,2020,2020,9324,População residente estimada
6,Município,45,Pessoas,23077,1100320,São Miguel do Guaporé - RO,2020,2020,9324,População residente estimada
6,Município,45,Pessoas,31392,1100338,Nova Mamoré - RO,2020,2020,9324,População residente estimada
6,Município,45,Pessoas,14106,1100346,Alvorada D'Oeste - RO,2020,2020,9324,População residente estimada
6,Município,45,Pessoas,13255,1100379,Alto Alegre dos Parecis - RO,2020,2020,9324,População residente estimada
6,Município,45,Pessoas,21847,1100403,Alto Paraíso - RO,2020,2020,9324,População residente estimada
6,Município,45,Pessoas,40356,1100452,Buritis - RO,2020,2020,9324,População residente estimada
6,Município,45,Pessoas,8329,1100502,Novo Horizonte do Oeste - RO,2020,2020,9324,População residente estimada
6,Município,45,Pessoas,6269,1100601,Cacaulândia - RO,2020,2020,9324,População residente estimada
