NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Ano (Código),Ano,Variável (Código),Variável
6,Município,45,Pessoas,27237,1100015,Alta Floresta D'Oeste - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,78039,1100023,Ariquemes - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,7490,1100031,Cabixi - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,74381,1100049,Cacoal - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,17925,1100056,Cerejeiras - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,20881,1100064,Colorado do Oeste - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,10160,1100072,Corumbiara - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,9919,1100080,Costa Marques - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,26221,1100098,Espigão D'Oeste - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,39194,1100106,Guajará-Mirim - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,54352,1100114,Jaru - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,108694,1100122,Ji-Paraná - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,24724,1100130,Machadinho D'Oeste - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,17334,1100148,Nova Brasilândia D'Oeste - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,40841,1100155,Ouro Preto do Oeste - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,31656,1100189,Pimenta Bueno - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,347844,1100205,Porto Velho - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,26065,1100254,Presidente Médici - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,3127,1100262,Rio Crespo - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,48101,1100288,Rolim de Moura - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,11450,1100296,Santa Luzia D'Oeste - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,57074,1100304,Vilhena - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,25959,1100320,São Miguel do Guaporé - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,16362,1100338,Nova Mamoré - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,19750,1100346,Alvorada D'Oeste - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,13490,1100379,Alto Alegre dos Parecis - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,14084,1100403,Alto Paraíso - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,30521,1100452,Buritis - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,12458,1100502,Novo Horizonte do Oeste - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,5398,1100601,Cacaulândia - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,13500,1100700,Campo Novo de Rondônia - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,14314,1100809,Candeias do Jamari - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,4178,1100908,Castanheiras - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,5842,1100924,Chupinguaia - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,7305,1100940,Cujubim - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,15106,1101005,Governador Jorge Teixeira - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,7356,1101104,Itapuã do Oeste - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,11308,1101203,Ministro Andreazza - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,13438,1101302,Mirante da Serra - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,13838,1101401,Monte Negro - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,8601,1101435,Nova União - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,3503,1101450,Parecis - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,2557,1101468,Pimenteiras do Oeste - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,4334,1101476,Primavera de Rondônia - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,7116,1101484,São Felipe D'Oeste - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,13636,1101492,São Francisco do Guaporé - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,12987,1101500,Seringueiras - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,5697,1101559,Teixeirópolis - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,12047,1101609,Theobroma - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,15700,1101708,Urupá - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,8655,1101757,Vale do Anari - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,10028,1101807,Vale do Paraíso - RO,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,8454,1200013,Acrelândia - AC,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,3611,1200054,Assis Brasil - AC,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,17649,1200104,Brasiléia - AC,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,6382,1200138,Bujari - AC,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,5814,1200179,Capixaba - AC,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,71571,1200203,Cruzeiro do Sul - AC,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,11785,1200252,Epitaciolândia - AC,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,28606,1200302,Feijó - AC,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,4505,1200328,Jordão - AC,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,11779,1200336,Mâncio Lima - AC,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,6737,1200344,Manoel Urbano - AC,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,8341,1200351,Marechal Thaumaturgo - AC,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,15759,1200385,Plácido de Castro - AC,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,5283,1200393,Porto Walter - AC,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,267740,1200401,Rio Branco - AC,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,8398,1200427,Rodrigues Alves - AC,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,2576,1200435,Santa Rosa do Purus - AC,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,20726,1200450,Senador Guiomard - AC,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,30519,1200500,Sena Madureira - AC,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,26582,1200609,Tarauacá - AC,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,12230,1200708,Xapuri - AC,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,11895,1200807,Porto Acre - AC,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,12921,1300029,Alvarães - AM,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,7849,1300060,Amaturá - AM,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,6676,1300086,Anamã - AM,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,11810,1300102,Anori - AM,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,15575,1300144,Apuí - AM,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,10482,1300201,Atalaia do Norte - AM,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,25868,1300300,Autazes - AM,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,26966,1300409,Barcelos - AM,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,23897,1300508,Barreirinha - AM,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,24251,1300607,Benjamin Constant - AM,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,11796,1300631,Beruri - AM,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,11109,1300680,Boa Vista do Ramos - AM,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,27370,1300706,Boca do Acre - AM,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,31018,1300805,Borba - AM,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,9218,1300839,Caapiranga - AM,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,10439,1300904,Canutama - AM,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,24289,1301001,Carauari - AM,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,26657,1301100,Careiro - AM,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,17079,1301159,Careiro da Várzea - AM,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,73075,1301209,Coari - AM,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,18358,1301308,Codajás - AM,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,27274,1301407,Eirunepé - AM,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,19633,1301506,Envira - AM,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,34679,1301605,Fonte Boa - AM,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,13583,1301654,Guajará - AM,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,31534,1301704,Humaitá - AM,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,15833,1301803,Ipixuna - AM,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,35128,1301852,Iranduba - AM,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,74914,1301902,Itacoatiara - AM,2002,2002,9324,População residente estimada
6,Município,45,Pessoas,8263,1301951,Itamarati - AM,2002,2002,9324,População residente estimada
